Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,Material_Involved_Clean,Movement_Type_Clean,has_history_date,event_year,slope_deg,rainfall_mm,soil_moisture_mm,label
1033,ARN/LS/83E15/2016/08,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.23995,93.806589,Debris,Slide,Debris,Slide,1,2016,1.44,10.62131148,0.414533128,1
999,ARN/LS/83E15/2016/04,Arunachal Pradesh,Lower Subansiri,Hoj-Potin slide,National Highway 713-A,27.193425,93.780983,Debris,Slide,Debris,Slide,1,2016,9.99,10.62131148,0.414533128,1
1006,ARN/PAP/83E12/2017/01,Arunachal Pradesh,Papum Pare,Laptap Landslide,"Trans Arunachal Highway,
about 40 km south of the state
capital Itanagar",27.207659,93.615842,Debris,Slide,Debris,Slide,1,2017,16.94,16.11803279,0.496521516,1
952,ARN/PAP/83E11/2017/02,Arunachal Pradesh,Papum Pare,Nirjuli,NH- 415,27.1275,93.73164,Debris,Slide,Debris,Slide,1,2017,0.31,14.37295082,0.405471653,1
953,ARN/PAP/83E11/2017/04,Arunachal Pradesh,Papum Pare,2 kilo,NH- 415,27.1275,93.73164,Debris,Slide,Debris,Slide,1,2017,0.31,14.37295082,0.405471653,1
935,ARN/PAP/83E11/2017/03,Arunachal Pradesh,Papum Pare,6 kilo,NH- 415,27.10736,93.64975,Debris,Slide,Debris,Slide,1,2017,0.87,14.37295082,0.405471653,1
878,ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng,Bhalukpong Circuit House slide,NE of Bhalukpong Helipad,27.018342,92.6356,Debris,Slide,Debris,Slide,1,2016,7.02,12.73196721,0.453045082,1
835,LS_ASM_DH_0412/2024,Assam,Dima Hasao,Lungkhok-Sampardisa road slide 1,"Lungkhok-Sampardisa road
section",25.211625,93.00113,Debris,Slide,Debris,Slide,1,2024,8.58,10.35819672,0.460121585,1
836,LS_ASM_DH_0411/2024,Assam,Dima Hasao,Lungkhok-Sampardisa road slide 2,"Lungkhok-Sampardisa road
section",25.21112,92.999782,Debris,Slide,Debris,Slide,1,2024,9.89,10.35819672,0.460121585,1
837,LS_ASM_DH_0413/2024,Assam,Dima Hasao,Maibang-Guilongkam road slide 1,"Maibang-Guilongkam road
section",25.267553,93.191317,Earth,Slide,Earth,Slide,1,2024,5.59,11.13360656,0.472381148,1
838,LS_ASM_DH_0414/2024,Assam,Dima Hasao,Maibang-Guilongkam road slide 2,"Maibang-Guilongkam road
section",25.266788,93.190998,Earth,Slide,Earth,Slide,1,2024,5.64,11.13360656,0.472381148,1
839,LS_ASM_DH_0415/2024,Assam,Dima Hasao,Maibang-Guilongkam road slide 3,"Maibang-Guilongkam road
section",25.26676,93.1964,Earth,Slide,Earth,Slide,1,2024,6.2,11.22622951,0.471039617,1
840,LS_ASM_DH_0416/2024,Assam,Dima Hasao,Maibang-Guilongkam road slide 4,"Maibang-Guilongkam road
section",25.266142,93.197997,Debris,Slide,Debris,Slide,1,2024,4.21,11.22622951,0.471039617,1
841,LS_ASM_DH_0417/2024,Assam,Dima Hasao,Maibang-Guilongkam road slide 5,"Maibang-Guilongkam road
section",25.265743,93.21778,Earth,Slide,Earth,Slide,1,2022,6.2,8.142622951,0.465192964,1
820,LS_ASM_DH_0396/2024,Assam,Dima Hasao,Gunjung road slide 1,Gunjung road section,25.22548,93.023783,Debris,Slide,Debris,Slide,1,2024,11.77,11.44754098,0.471355874,1
823,LS_ASM_DH_0399/2024,Assam,Dima Hasao,Zion road slide,Zion road section,25.18846,93.003768,Debris,Slide,Debris,Slide,1,2024,5.8,11.44754098,0.471355874,1
824,LS_ASM_DH_0400/2024,Assam,Dima Hasao,Lungkhok-Asiakrobi road slide 1,"Lungkhok-Asiakrobi road
section",25.20006,92.9972,Debris,Slide,Debris,Slide,1,2024,2.67,10.35819672,0.460121585,1
825,LS_ASM_DH_0401/2024,Assam,Dima Hasao,Lungkhok-Asiakrobi road slide 2,"Lungkhok-Asiakrobi road
section",25.19509,92.9995,Debris,Slide,Debris,Slide,1,2024,1.39,11.44754098,0.471355874,1
826,LS_ASM_DH_0402/2024,Assam,Dima Hasao,Lungkhok-Asiakrobi road slide 3,"Lungkhok-Asiakrobi road
section",25.199617,92.997478,Debris,Slide,Debris,Slide,1,2024,4.52,10.35819672,0.460121585,1
830,LS_ASM_DH_0406/2024,Assam,Dima Hasao,Khomunnom playground slide,Khomunnom,25.18833,93.104922,Earth,Slide,Earth,Slide,1,2016,4.67,10.10081967,0.477033128,1
831,LS_ASM_DH_0407/2024,Assam,Dima Hasao,Lasang Aam road slide,Lasang Aam road section,25.147883,93.085354,Debris,Slide,Debris,Slide,1,2022,6.71,9.57295082,0.477306352,1
801,AS/KAM(M)/78N12/2025/01,Assam,Kamrup,Kamakhya Main Road,Kamakhya Road,26.166185,91.7147,Earth,Slide,Earth,Slide,1,2025,4.83,13.33360656,0.464561475,1
802,AS/KAM(M)/78N12/2025/02,Assam,Kamrup,Kamakhya Main Road,Kamakhya Road,26.16616,91.713803,Earth,Slide,Earth,Slide,1,2025,6.31,11.66803279,0.465676571,1
803,AS/KAM(M)/78N12/2025/03,Assam,Kamrup,Kamakhya Main Road,Kamakhya Road,26.16297,91.7059,Earth,Slide,Earth,Slide,1,2025,8.33,11.66803279,0.465676571,1
804,AS/KAM(M)/78N12/2025/04,Assam,Kamrup,Pandu,Pandu,26.17027,91.698,Debris,Slide,Debris,Slide,1,2025,4.06,13.33360656,0.464561475,1
805,ASM/DH/83C16/2023-24/001,Assam,Dima Hasao,Lower Boulsol slide,Lower Boulsol,25.117665,92.847709,Debris,Slide,Debris,Slide,1,2022,8.78,13.80983607,0.395636954,1
807,ASM/DH/83C07/2023-24/001,Assam,Dima Hasao,Semkhor Road slide,"Semkhor I-Semkhor II road
section",25.283672,93.301012,Debris,Slide,Debris,Slide,1,2021,3.5,8.092622951,0.477824795,1
808,ASM/DH/83C15/2023-24/001,Assam,Dima Hasao,Old Sangbar playground slide,Old Sangbar,25.366255,92.823037,Debris,Slide,Debris,Slide,1,2022,4.21,8.486885246,0.463048156,1
143,ASM/DH/83G4/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong",25.134472,93.018972,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2016,9.99,10.10081967,0.443344604,1
813,ASM/DH/83G03/2023-24/004,Assam,Dima Hasao,Gunjung subsidence,Gunjung,25.316197,93.006158,Earth,Subsidence,Earth,Subsidence,1,2022,4.01,7.959016393,0.432977801,1
814,LS_ASM_DH_0390/2024,Assam,Dima Hasao,Duiring Road,Hokai-Duiring road section,25.172918,92.995982,Debris,Slide,Debris,Slide,1,2024,2.62,11.44754098,0.471355874,1
815,LS_ASM_DH_0391/2024,Assam,Dima Hasao,Maibang,Maibang,25.319717,93.123028,Debris,Slide,Debris,Slide,1,2024,3.6,10.22868852,0.462210383,1
816,LS_ASM_DH_0392/2024,Assam,Dima Hasao,Maibang-Gunjung road slide 1,Maibang-Gunjung road section,25.318433,93.115767,Debris,Slide,Debris,Slide,1,2024,5.24,10.22868852,0.462210383,1
785,ASM/DH/83G04/2022-23/022,Assam,Dima Hasao,Lower Haflong Slide 2,Lower Haflong,25.18919,93.02118,Debris,Slide,Debris,Slide,1,2022,5.13,7.119672131,0.457205601,1
786,AS/KRM/83D06/2014-15/0001,Assam,Karimganj,"Satkaragul (Pathariya Hills RF),","NH-44. Satkaragul Village near
Nilambazar, Nilambazar Circle,
Karimganj.",24.70619444,92.28997222,Earth,Flow,Earth,Flow,1,2014,0.77,14.8204918,0.479254781,1
787,ASM/DH/83G04/2022-23/021,Assam,Dima Hasao,Moulhoi Slide 1,"Gilgal Veng, Moulhoi, Haflong",25.17623,93.01326,Debris,Slide,Debris,Slide,1,2022,3.39,7.119672131,0.457205601,1
799,AS/KAM(M)/78N16/2025/006,Assam,Kamrup,"Doimuguri, Bonda","Doimuguri,",26.19113889,91.82961111,Earth,Slide,Earth,Slide,1,2025,4.21,12.98606557,0.462314208,1
769,AS/KRP/78N/16/2018/003,Assam,Kamrup,Hastinapur landslide,"Hastinapur Near Jorabat
opposite of cow bazaar.",26.11266667,91.85388889,Debris,Slide,Debris,Slide,1,2018,0.21,10.69918033,0.492427596,1
770,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,"Kanakpur Pt. III, Lakhipur,
Joypur",24.92097,93.07306,Earth,Slide,Earth,Slide,1,2020,1.34,14.1557377,0.410012978,1
771,AS/KRP/78N16/2018/002,Assam,Kamrup,Kharghuli slide,"Kharghuli area, near Kharghuli
post office in Guwahati.",26.19530556,91.76563889,Debris,Slide,Debris,Slide,1,2018,2.47,12.09262295,0.493233607,1
772,"AS/KAMRUP/78N12/2015-
16/0001",Assam,Kamrup,Jayguru Kalipahar Slide,"About 200 m North of NH-31, In
north of IIT(G) approach",26.21111111,91.68416667,Debris,Toppled the wedged weathered rocks blocks.,Debris,Topple,1,2015,5.59,17.55983607,0.476386954,1
773,ASM/KAM/78N16/2020/001,Assam,Kamrup (Metro),Hirimbapur landslide,Kharghuli,26.19330556,91.77725,Debris,Slide,Debris,Slide,1,2020,6.36,14.87295082,0.489846653,1
774,ASM/KAM/78N16/2020/002,Assam,Kamrup (Metro),Ambher landslide,12th mile near Jorabat,26.09150556,91.87898611,Earth,Slide,Earth,Slide,1,2020,2.42,12.52704918,0.490298839,1
775,ASM/KAM/78N12/2020/003,Assam,Kamrup (Metro),Gauripur landslide,NH-31,26.21305556,91.6925,Rock,Fall,Rock,Fall,1,2020,7.32,14.93934426,0.490672473,1
776,ASM/K(M)/78N16/2022-23/003,Assam,Kamrup (Metro),Salbari,Near Noonmati bazaar road,26.1916,91.80361,Debris,Slide,Debris,Slide,1,2022,0.62,12.09590164,0.48713627,1
777,ASM/K(M)/78N16/2022-23/001,Assam,Kamrup (Metro),Upper Luitpur,Upper Luitpur,26.19322,91.77033,Earth,Slide,Earth,Slide,1,2022,5.8,12.09590164,0.48713627,1
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,"Between Mailongdisa and
Harangajao Railway stations.
CHainage:128.400 km to
128.600 km",25.121,92.915028,Debris,Slide,Debris,Slide,1,2010,16.46,13.07540984,0.452466189,1
133,AS/DIM/83G4/2015/55,Assam,Dima Hasao,Bara Wapu,"Bara Wapu, NH-54",25.122,93.025,Earth,Slide,Earth,Slide,1,2014,2.47,8.962295082,0.44445082,1
134,AS/DIM/83G4/2015/21,Assam,Dima Hasao,Jatinga,Jatinga NH-54,25.122,93.026,Earth,Slide,Earth,Slide,1,2014,4.32,8.962295082,0.44445082,1
135,AS/DIM/83G4/2015/19,Assam,Dima Hasao,Jatinga Orange Garden Slide.,"Jatinga,NH-54",25.123,93.034,Earth,Slide,Earth,Slide,1,2014,7.78,8.962295082,0.44445082,1
136,AS/DIM/83G4/2015/20,Assam,Dima Hasao,Jatinga slide,Near Jatinga,25.123,93.033,Earth,Slide,Earth,Slide,1,2014,5.29,8.962295082,0.44445082,1
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,"Between Mailongdisa and
Harangajao railway station
(Chainage: 130.100 Km to
130.400 Km)",25.124306,92.904278,Debris,Slide,Debris,Slide,1,2010,19.31,13.07540984,0.452466189,1
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,"Between Jatinga and
Longrangajao Railway stations
(Chainage:120.100 km to
120.400 km)",25.124583,92.989111,Debris,Slide,Debris,Slide,1,2010,1.75,13.07540984,0.448699454,1
142,AS/DIM/83G4/2015/65,Assam,Dima Hasao,Nutan Leikul-Kelelo Sinking zone,On NH-54,25.134,93.045,Earth,Slide,Earth,Slide,1,2014,5.59,10.04508197,0.44445082,1
175,ASM/DH/83G4/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,Haflong town,25.156583,93.019611,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2016,2.93,10.10081967,0.476209699,1
144,AS/DIM/83G4/2015/27,Assam,Dima Hasao,Kelelo slide-1,NH-54 Near Kelolo village,25.135,93.04,Earth,Slide,Earth,Slide,1,2014,6.15,10.04508197,0.44445082,1
145,AS/DIM/83G4/2015/32,Assam,Dima Hasao,Nutan Leikul-5,Nutan Leikul.NH-54,25.135,93.04,Earth,Slide,Earth,Slide,1,2014,6.15,10.04508197,0.44445082,1
146,AS/DIM/83G4/2015/36,Assam,Dima Hasao,Kelelo-4,Kelelo NH-54,25.136,93.04,Earth,Slide,Earth,Slide,1,2014,7.52,10.04508197,0.44445082,1
147,AS/DIM/83G4/2015/29,Assam,Dima Hasao,NutanLeikul-2,"NutanLeikul, NH-54",25.137,93.04,Earth,Slide,Earth,Slide,1,2014,5.9,10.04508197,0.44445082,1
148,AS/DIM/83G4/2015/34,Assam,Dima Hasao,Kelelo -2,"Kelelo village,NH-54",25.137,93.034,Earth,Flow,Earth,Flow,1,2014,8.33,10.04508197,0.44445082,1
149,AS/DIM/83G4/2015/35,Assam,Dima Hasao,Kelelo-3,"Kelelo,NH-54",25.137,93.04,Earth,Slide,Earth,Slide,1,2014,5.9,10.04508197,0.44445082,1
150,AS/DIM/83G4/2015/22,Assam,Dima Hasao,Jatinga slide,"Jatinga, NH-54",25.137,93.018,Earth,Slide,Earth,Slide,1,2014,8.53,10.04508197,0.44445082,1
151,AS/DIM/83G4/2015/56,Assam,Dima Hasao,Bara Haflong,"Bara Haflong,village.",25.139,93.025,Earth,Slide,Earth,Slide,1,2014,4.11,10.04508197,0.44445082,1
153,AS/DIM/83G4/2015/30,Assam,Dima Hasao,NutanLeikul-3,"Nutan.Leikul,NH-54",25.139,93.04,Earth,Slide,Earth,Slide,1,2014,2.16,10.04508197,0.44445082,1
154,ASM/DH/83G4/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1,"Jatinga-Haflong Road section,
Haflong",25.139611,93.019556,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2016,11.43,10.10081967,0.443344604,1
157,ASM/DH/83G4/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp,
Boro Haflong-3","Boro Haflong, Haflong",25.140417,93.020389,Debris,Slide,Debris,Slide,1,2014,11.38,10.04508197,0.44445082,1
158,AS/DIM/83G4/2015/28,Assam,Dima Hasao,Nutan Leikul-1,"Nutan Leikul, NH-54",25.142,93.04,Earth,Slide,Earth,Slide,1,2014,4.32,10.04508197,0.44445082,1
159,AS/DIM/83G4/2015/31,Assam,Dima Hasao,Nutan Leikul-4,"Nutan Leikul,NH-54",25.142,93.04,Earth,Slide,Earth,Slide,1,2014,4.32,10.04508197,0.44445082,1
778,ASM/K(M)/78N16/2022-23/002,Assam,Kamrup (Metro),Anandanagar,Anandanagar,26.18789,91.79493,Earth,Slide,Earth,Slide,1,2022,0.21,12.09590164,0.48713627,1
779,ASM/DH/83G04/2022-23/023,Assam,Dima Hasao,Disgao Raji Slide,"Disgao Raji, Haflong",25.17136,93.01102,Debris,Slide,Debris,Slide,1,2022,2.93,7.119672131,0.457205601,1
